label	stall	seam_min	seam_max	cruise	max_jump
E1-d1-s7	0.7750	1.2076	1.9520	1.5581	0.1793
E1-d2-s7	0.5627	1.2511	2.2508	2.2233	0.2602
E1-d3-s7	0.6299	1.0275	1.8395	1.6312	0.2565
E1-d5-s7	0.8282	1.1366	1.6101	1.3723	0.1738
E1-d8-s7	0.0457	0.0258	0.7305	0.5649	0.1489
E1-d1-s21	0.9353	1.3978	2.2004	1.4945	0.1204
E1-d2-s21	0.8218	1.7706	2.1519	2.1546	0.1795
E1-d3-s21	0.7217	1.2472	1.8170	1.7281	0.1864
E1-d5-s21	0.8167	1.2593	1.9410	1.5420	0.1809
E1-d8-s21	0.5880	0.0523	0.1177	0.0889	0.1490
E0-single6	0.8510	0.9606	1.3166	1.1288	0.2406
E2-t2	0.6564	0.9285	1.4466	1.4144	0.2004
E2-t10	0.6224	1.1126	2.1759	1.7874	0.2350
E2-t15	0.5828	1.1141	2.1243	1.9115	0.2210
E3-walk-jump	0.7747	0.9193	1.3431	1.1865	0.0998
E3-idle-run	0.0337	0.0105	0.4610	0.3115	0.2115
E3-walk-back	0.4163	0.2917	1.3431	0.7006	0.0842
E4-terse	0.5976	1.0798	2.0039	1.8068	0.2531
E4-verbose	0.5622	1.0826	2.2281	1.9257	0.2592
E4-context	0.6600	1.0252	1.6710	1.5533	0.1654
E4-nosubject	0.5797	1.1116	2.1794	1.9175	0.2464
E1-d2-s99	0.7008	1.2661	1.9511	1.8067	0.2473
E1-d3-s99	0.7640	1.2951	1.7433	1.6951	0.2089
E1-d5-s99	0.7208	0.8581	1.3403	1.1904	0.1910
